No,チャプター名,カテゴリ名,親カテゴリ名,ナレッジタイトル（ノウハウ名）,ナレッジ概要,チェックアイテム名,検索手順,検索実施,移植要因,難易度,難易度詳細,目視確認,ヒアリング確認,検索対象ファイル,検索キーワード１,検索キーワード２,検索モジュール,ライン数算出,非算出理由,不明/TODO,ライン数,ライン数根拠,調査内容
1,ORACA,ORACA MIGRATION,,knowledge-1,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
2,,oraca.oracaid (TYP-025-001),ORACA MIGRATION,knowledge-2,<ns3:para>oraca\.oracaid ORACAが使用されています。ORACAはtodbで未サポートです。</ns3:para>,item-1,oraca\.oracaid,TRUE,DBMS の変更,Unknown,不明1,check,,*.p?c|*.h|*.cpp,oraca\.oracaid,,,TRUE,,TODO:SE 手動算出,,,oraca\.oracaid
3,,oraca.oracabc,ORACA MIGRATION,knowledge-3,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
4,,oraca.oracabc (TYP-025-002),oraca.oracabc,knowledge-4,<ns3:para>oraca\.oracabc ORACAが使用されています。ORACAはtodbで未サポートです。</ns3:para>,item-2,oraca\.oracabc,TRUE,DBMS の変更,Unknown,不明1,check,,*.p?c|*.h|*.cpp,oraca\.oracabc,,,TRUE,,TODO:SE 手動算出,,,oraca\.oracabc
5,,oraca.oracchf,ORACA MIGRATION,knowledge-5,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
6,,oraca.oracchf (TYP-025-003),oraca.oracchf,knowledge-6,<ns3:para>oraca\.oracchf ORACAが使用されています。ORACAはtodbで未サポートです。</ns3:para>,item-3,oraca\.oracchf,TRUE,DBMS の変更,Unknown,不明1,check,,*.p?c|*.h|*.cpp,oraca\.oracchf,,,TRUE,,TODO:SE 手動算出,,,oraca\.oracchf
7,,oraca.oradbgf,ORACA MIGRATION,knowledge-7,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
8,,oraca.oradbgf (TYP-025-004),oraca.oradbgf,knowledge-8,<ns3:para>oraca\.oradbgf ORACAが使用されています。ORACAはtodbで未サポートです。</ns3:para>,item-4,oraca\.oradbgf,TRUE,DBMS の変更,Unknown,不明1,check,,*.p?c|*.h|*.cpp,oraca\.oradbgf,,,TRUE,,TODO:SE 手動算出,,,oraca\.oradbgf
9,,oraca.orahchf,ORACA MIGRATION,knowledge-9,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
10,,oraca.orahchf (TYP-025-005),oraca.orahchf,knowledge-10,<ns3:para>oraca\.orahchf ORACAが使用されています。ORACAはtodbで未サポートです。</ns3:para>,item-5,oraca\.orahchf,TRUE,DBMS の変更,Unknown,不明1,check,,*.p?c|*.h|*.cpp,oraca\.orahchf,,,TRUE,,TODO:SE 手動算出,,,oraca\.orahchf
